InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Region,PriceBand,OrderType,CustomerTotal,CustomerOrders,ShareOfCustomerSpend,RevenueZScoreInCountry,CountryMedianRevenue,RevenueTier,IsWeekend,IsRepeatCustomer,QuantityBucket,CustomerValueQuartile,Year,Month,DayName,Hour,Quarter,Revenue_Capped,BasketSize,BasketLines,BasketValue,LogRevenue,RevenueRankInCustomer,IsTopLineForCustomer,RevenuePerUnit
575943,22617,Baking Set Spaceboy Design,3,2011-11-13 11:44:00,4.95,17920,United Kingdom,14.850000000000001,UK,Standard,Normal,4204.1,17,0.0035,-0.018,10.2,Mid,1,Repeat,3-6,Q3,2011,11,Sunday,11,4,14.850000000000001,131,52,255.54000000000002,2.76316950032329,33,False,4.95
549729,21930,Jumbo Storage Bag Skulls,2,2011-04-11 16:17:00,2.08,13634,United Kingdom,4.16,UK,Standard,Normal,1575.16,5,0.0026,-0.051,10.2,Low,0,Repeat,1-2,Q2,2011,4,Monday,16,2,4.16,126,35,263.41,1.6409365794934714,64,False,2.08
557287,21340,Classic Metal Birdcage Plant Holder,1,2011-06-19 12:47:00,12.75,18109,United Kingdom,12.75,UK,Premium,Normal,8052.97,26,0.0016,-0.024,10.2,Mid,1,Repeat,1-2,Q4-High,2011,6,Sunday,12,2,12.75,485,14,340.58,2.6210388241125804,66,False,12.75
572302,84077,World War 2 Gliders Asstd Designs,48,2011-10-23 14:47:00,0.29,15427,United Kingdom,13.919999999999998,UK,Budget,Bulk-Cheap,1483.14,3,0.0094,-0.021,10.2,Mid,1,Repeat,25+,Q2,2011,10,Sunday,14,4,13.919999999999998,302,85,371.03,2.7027025947756145,12,False,0.29
578541,21485,Retrospot Heart Hot Water Bottle,3,2011-11-24 15:01:00,4.95,14277,France,14.850000000000001,EU,Standard,Normal,4216.2,3,0.0035,-0.137,16.6,Mid,0,Repeat,3-6,Q3,2011,11,Thursday,15,4,14.850000000000001,825,126,2079.37,2.76316950032329,53,False,4.95
550461,21175,Gin + Tonic Diet Metal Sign,2000,2011-04-18 13:20:00,1.69,15749,United Kingdom,3380.0,UK,Standard,Bulk-Cheap,44534.3,3,0.0759,10.303,10.2,Top,0,Repeat,25+,Q4-High,2011,4,Monday,13,2,202.5,9014,5,21535.9,8.125926802707886,7,False,1.69
537646,22585,Pack Of 6 Birdy Gift Tags,1,2010-12-07 15:39:00,1.25,17591,United Kingdom,1.25,UK,Standard,Normal,2225.9700000000003,7,0.0006,-0.059,10.2,Low,0,Repeat,1-2,Q2,2010,12,Tuesday,15,4,1.25,133,80,406.6,0.8109302162163288,59,False,1.25
573413,23517,Embroidered Ribbon Reel Rebecca,2,2011-10-30 16:12:00,2.89,15444,United Kingdom,5.78,UK,Standard,Normal,1418.26,2,0.0041,-0.046,10.2,Low,1,Repeat,1-2,Q2,2011,10,Sunday,16,4,5.78,192,72,342.9,1.9139771019523042,46,False,2.89
558881,21403,Blue Egg  Spoon,24,2011-07-04 14:36:00,0.12,12705,Germany,2.88,EU,Budget,Bulk-Cheap,6868.29,9,0.0004,-0.633,17.0,Low,0,Repeat,13-24,Q4-High,2011,7,Monday,14,3,2.88,863,60,998.4200000000001,1.355835153635182,80,False,0.12
557762,21930,Jumbo Storage Bag Skulls,10,2011-06-22 14:01:00,2.08,15810,United Kingdom,20.8,UK,Standard,Normal,1391.98,4,0.0149,0.001,10.2,Mid,0,Repeat,7-12,Q2,2011,6,Wednesday,14,2,20.8,326,29,507.07,3.0819099697950434,9,False,2.08
562928,22988,Soldiers Egg Cup,12,2011-08-10 15:29:00,1.25,15494,United Kingdom,15.0,UK,Standard,Normal,1299.23,2,0.0115,-0.017,10.2,Mid,0,Repeat,7-12,Q2,2011,8,Wednesday,15,3,15.0,1077,88,1127.38,2.772588722239781,19,False,1.25
569211,23330,Decorative Wicker Heart Medium,6,2011-10-02 12:04:00,1.25,15774,United Kingdom,7.5,UK,Standard,Normal,270.8,1,0.0277,-0.04,10.2,Low,1,One-Time,3-6,Q1-Low,2011,10,Sunday,12,4,7.5,87,25,270.8,2.1400661634962708,13,False,1.25
544803,22475,Skull Design Tv Dinner Tray,1,2011-02-23 14:29:00,4.95,14606,United Kingdom,4.95,UK,Standard,Normal,12156.65,93,0.0004,-0.048,10.2,Low,0,Repeat,1-2,Q4-High,2011,2,Wednesday,14,1,4.95,59,31,114.07,1.7833912195575383,125,False,4.95
556469,21791,Vintage Heads And Tails Card Game,12,2011-06-12 11:37:00,1.25,12516,Germany,15.0,EU,Standard,Normal,1312.06,2,0.0114,-0.291,17.0,Mid,1,Repeat,7-12,Q2,2011,6,Sunday,11,2,15.0,345,13,583.2,2.772588722239781,13,False,1.25
546642,21232,Strawberry Ceramic Trinket Box,24,2011-03-15 13:13:00,1.25,12779,Poland,30.0,EU,Standard,Bulk-Cheap,3981.36,8,0.0075,0.512,17.4,Mid,0,Repeat,13-24,Q3,2011,3,Tuesday,13,1,30.0,162,9,317.78,3.4339872044851463,26,False,1.25
548780,85099B,Jumbo Bag Red Retrospot,10,2011-04-04 12:37:00,1.95,13294,United Kingdom,19.5,UK,Standard,Normal,873.74,2,0.0223,-0.003,10.2,Mid,0,Repeat,7-12,Q1-Low,2011,4,Monday,12,2,19.5,317,32,483.65,3.0204248861443626,8,False,1.95
566234,23349,Roll Wrap Vintage Christmas,1,2011-09-11 11:08:00,1.25,15035,United Kingdom,1.25,UK,Standard,Normal,252.73000000000002,1,0.0049,-0.059,10.2,Low,1,One-Time,1-2,Q1-Low,2011,9,Sunday,11,3,1.25,245,27,252.73000000000002,0.8109302162163288,19,False,1.25
563019,22178,Victorian Glass Hanging T-Light,24,2011-08-11 12:58:00,1.25,17340,United Kingdom,30.0,UK,Standard,Bulk-Cheap,12353.29,11,0.0024,0.029,10.2,Mid,0,Repeat,13-24,Q4-High,2011,8,Thursday,12,3,30.0,344,24,595.72,3.4339872044851463,65,False,1.25
549239,22311,Office Mug Warmer Black+Silver,6,2011-04-07 11:37:00,2.95,13102,United Kingdom,17.700000000000003,UK,Standard,Normal,6424.09,24,0.0028,-0.009,10.2,Mid,0,Repeat,3-6,Q4-High,2011,4,Thursday,11,2,17.700000000000003,174,11,245.45999999999998,2.928523523860541,37,False,2.95
562587,22095,Lads Only Tissue Box,10,2011-08-07 14:34:00,0.39,15640,United Kingdom,3.9000000000000004,UK,Budget,Normal,12515.66,15,0.0003,-0.051,10.2,Low,1,Repeat,7-12,Q4-High,2011,8,Sunday,14,3,3.9000000000000004,844,56,1444.66,1.589235205116581,109,False,0.39
544913,22223,Cake Plate Lovebird Pink,1,2011-02-24 15:26:00,4.95,15543,United Kingdom,4.95,UK,Standard,Normal,127.86,1,0.0387,-0.048,10.2,Low,0,One-Time,1-2,Q1-Low,2011,2,Thursday,15,1,4.95,86,28,127.86,1.7833912195575383,7,False,4.95
551396,84945,Multi Colour Silver T-Light Holder,12,2011-04-28 12:49:00,0.85,17720,United Kingdom,10.2,UK,Budget,Normal,1195.94,4,0.0085,-0.032,10.2,Low,0,Repeat,7-12,Q2,2011,4,Thursday,12,2,10.2,178,16,430.38,2.4159137783010487,24,False,0.85
569488,22738,Ribbon Reel Snowy Village,5,2011-10-04 13:10:00,1.65,16440,United Kingdom,8.25,UK,Standard,Normal,3640.67,5,0.0023,-0.038,10.2,Low,0,Repeat,3-6,Q3,2011,10,Tuesday,13,4,8.25,459,46,433.01,2.224623551524334,65,False,1.65
544913,22221,Cake Stand Lovebird 2 Tier Pink,1,2011-02-24 15:26:00,9.95,15543,United Kingdom,9.95,UK,Premium,Normal,127.86,1,0.0778,-0.033,10.2,Low,0,One-Time,1-2,Q1-Low,2011,2,Thursday,15,1,9.95,86,28,127.86,2.3933394562625097,2,False,9.95
576303,23356,Love Hot Water Bottle,1,2011-11-14 14:51:00,5.95,15532,United Kingdom,5.95,UK,Premium,Normal,1580.93,4,0.0038,-0.045,10.2,Low,0,Repeat,1-2,Q2,2011,11,Monday,14,4,5.95,146,53,355.14,1.9387416595767009,43,False,5.95
543984,22969,Homemade Jam Scented Candles,24,2011-02-15 09:35:00,1.45,15601,United Kingdom,34.8,UK,Standard,Bulk-Cheap,6776.56,14,0.0051,0.043,10.2,Mid,0,Repeat,13-24,Q4-High,2011,2,Tuesday,9,1,34.8,432,29,549.04,3.5779478934066544,11,False,1.45
578783,20972,Pink Cream Felt Craft Trinket Box,12,2011-11-25 11:58:00,1.25,12748,United Kingdom,15.0,UK,Standard,Normal,33719.73,209,0.0004,-0.017,10.2,Mid,0,Repeat,7-12,Q4-High,2011,11,Friday,11,4,15.0,380,37,364.13,2.772588722239781,162,False,1.25
565730,71053,White Metal Lantern,6,2011-09-06 12:02:00,3.75,14715,United Kingdom,22.5,UK,Standard,Normal,867.38,4,0.0259,0.006,10.2,Mid,0,Repeat,3-6,Q1-Low,2011,9,Tuesday,12,3,22.5,169,27,347.3,3.1570004211501135,8,False,3.75
562370,22897,Oven Mitt Apples Design,10,2011-08-04 14:20:00,1.45,12626,Germany,14.5,EU,Standard,Normal,6620.48,9,0.0022,-0.305,17.0,Mid,0,Repeat,7-12,Q4-High,2011,8,Thursday,14,3,14.5,556,44,1062.84,2.740840023925201,63,False,1.45
579175,22114,Hot Water Bottle Tea And Sympathy,6,2011-11-28 14:39:00,4.25,14562,United Kingdom,25.5,UK,Standard,Normal,5074.77,18,0.005,0.015,10.2,Mid,0,Repeat,3-6,Q3,2011,11,Monday,14,4,25.5,110,26,321.19,3.2771447329921766,19,False,4.25
549720,20727,Lunch Bag  Black Skull.,1,2011-04-11 15:25:00,1.65,14606,United Kingdom,1.65,UK,Standard,Normal,12156.65,93,0.0001,-0.058,10.2,Low,0,Repeat,1-2,Q4-High,2011,4,Monday,15,2,1.65,56,33,142.84,0.9745596399981308,179,False,1.65
579301,23322,Large White Heart Of Wicker,2,2011-11-29 11:32:00,2.95,18118,United Kingdom,5.9,UK,Standard,Normal,5653.82,26,0.001,-0.045,10.2,Low,0,Repeat,1-2,Q3,2011,11,Tuesday,11,4,5.9,167,88,293.15,1.9315214116032138,65,False,2.95
552276,21703,Bag 125G Swirly Marbles,72,2011-05-08 12:31:00,0.42,18142,United Kingdom,30.24,UK,Budget,Bulk-Cheap,1019.52,2,0.0297,0.029,10.2,Mid,1,Repeat,25+,Q1-Low,2011,5,Sunday,12,2,30.24,292,9,282.48,3.441699324971485,9,False,0.42
566162,23432,Pretty Hanging Quilted Hearts,12,2011-09-09 11:46:00,0.83,15249,United Kingdom,9.959999999999999,UK,Budget,Normal,6688.46,13,0.0015,-0.033,10.2,Low,0,Repeat,7-12,Q4-High,2011,9,Friday,11,3,9.959999999999999,149,18,282.31,2.3942522815198695,56,False,0.83
571828,23199,Jumbo Bag Apples,3,2011-10-19 11:52:00,2.08,16440,United Kingdom,6.24,UK,Standard,Normal,3640.67,5,0.0017,-0.044,10.2,Low,0,Repeat,3-6,Q3,2011,10,Wednesday,11,4,6.24,542,75,1103.36,1.979621206397625,76,False,2.08
581126,22993,Set Of 4 Pantry Jelly Moulds,12,2011-12-07 12:43:00,1.25,18272,United Kingdom,15.0,UK,Standard,Normal,3078.58,6,0.0049,-0.017,10.2,Mid,0,Repeat,7-12,Q3,2011,12,Wednesday,12,4,15.0,254,23,367.88,2.772588722239781,34,False,1.25
544804,22501,Picnic Basket Wicker Large,4,2011-02-23 14:40:00,9.95,17504,United Kingdom,39.8,UK,Premium,Normal,2997.0299999999997,9,0.0133,0.059,10.2,Top,0,Repeat,3-6,Q3,2011,2,Wednesday,14,1,39.8,176,9,346.28,3.708682081410116,13,False,9.95
580296,23388,Woodland Mini Backpack,2,2011-12-02 13:49:00,4.15,13780,United Kingdom,8.3,UK,Standard,Normal,360.01,2,0.0231,-0.038,10.2,Low,0,Repeat,1-2,Q1-Low,2011,12,Friday,13,4,8.3,145,48,243.73000000000002,2.2300144001592104,9,False,4.15
581452,23356,Love Hot Water Bottle,12,2011-12-08 18:03:00,5.95,17675,United Kingdom,71.4,UK,Premium,Normal,20374.28,31,0.0035,0.156,10.2,Top,0,Repeat,7-12,Q4-High,2011,12,Thursday,18,4,71.4,324,18,728.9200000000001,4.282206299391671,18,False,5.95
580776,22434,Balloon Pump With 10 Balloons,1,2011-12-06 11:05:00,1.95,14562,United Kingdom,1.95,UK,Standard,Normal,5074.77,18,0.0004,-0.057,10.2,Low,0,Repeat,1-2,Q3,2011,12,Tuesday,11,4,1.95,96,25,262.12,1.0818051703517284,117,False,1.95
567855,21497,Fancy Fonts Birthday Wrap,25,2011-09-22 13:38:00,0.42,13220,United Kingdom,10.5,UK,Budget,Bulk-Cheap,819.2900000000001,4,0.0128,-0.031,10.2,Low,0,Repeat,25+,Q1-Low,2011,9,Thursday,13,3,10.5,64,4,92.8,2.4423470353692043,12,False,0.42
575668,22733,3D Traditional Christmas Stickers,1,2011-11-10 14:59:00,1.25,18283,United Kingdom,1.25,UK,Standard,Normal,2094.88,16,0.0006,-0.059,10.2,Low,0,Repeat,1-2,Q2,2011,11,Thursday,14,4,1.25,64,59,112.35,0.8109302162163288,65,False,1.25
573362,23486,Antique Heart Shelf Unit,1,2011-10-30 13:06:00,16.65,12597,Spain,16.65,EU,Luxury,Single-Premium,3811.22,4,0.0044,-0.116,15.0,Mid,1,Repeat,1-2,Q3,2011,10,Sunday,13,4,16.65,1484,116,2176.45,2.8707357833793057,39,False,16.65
570380,22489,Pack Of 12 Traditional Crayons,1,2011-10-10 12:35:00,0.42,14606,United Kingdom,0.42,UK,Budget,Normal,12156.65,93,0.0,-0.062,10.2,Low,0,Repeat,1-2,Q4-High,2011,10,Monday,12,4,0.55,45,31,111.55,0.3506568716131694,205,False,0.42
536992,84032B,Charlie + Lola Red Hot Water Bottle,36,2010-12-03 15:16:00,2.55,15769,United Kingdom,91.8,UK,Standard,Normal,56252.72,26,0.0016,0.218,10.2,Top,0,Repeat,25+,Q4-High,2010,12,Friday,15,4,91.8,36,1,91.8,4.530446639792155,33,False,2.55
570210,22980,Pantry Scrubbing Brush,2,2011-10-09 10:48:00,1.65,13259,United Kingdom,3.3,UK,Standard,Normal,292.32,1,0.0113,-0.053,10.2,Low,1,One-Time,1-2,Q1-Low,2011,10,Sunday,10,4,3.3,132,87,292.32,1.4586150226995167,17,False,1.65
559933,21735,Two Door Curio Cabinet,1,2011-07-14 09:54:00,12.75,16719,United Kingdom,12.75,UK,Premium,Normal,1790.42,7,0.0071,-0.024,10.2,Mid,0,Repeat,1-2,Q2,2011,7,Thursday,9,3,12.75,186,32,308.2,2.6210388241125804,25,False,12.75
562031,82551,Laundry 15C Metal Sign,4,2011-08-01 17:37:00,1.45,16984,United Kingdom,5.8,UK,Standard,Normal,4481.35,2,0.0013,-0.045,10.2,Low,0,Repeat,3-6,Q3,2011,8,Monday,17,3,5.8,1632,277,3226.13,1.916922612182061,104,False,1.45
562204,22563,Happy Stencil Craft,14,2011-08-03 12:54:00,1.25,16324,United Kingdom,17.5,UK,Standard,Normal,428.68,3,0.0408,-0.01,10.2,Mid,0,Repeat,13-24,Q1-Low,2011,8,Wednesday,12,3,17.5,184,66,258.17,2.917770732084279,1,True,1.25
562619,16008,Small Folding Scissor(Pointed Edge),12,2011-08-08 12:34:00,0.12,15311,United Kingdom,1.44,UK,Budget,Normal,60767.9,91,0.0,-0.059,10.2,Low,0,Repeat,7-12,Q4-High,2011,8,Monday,12,3,1.44,109,29,159.92,0.8919980393051105,265,False,0.12
540265,84970S,Hanging Heart Zinc T-Light Holder,12,2011-01-06 10:46:00,0.85,15271,United Kingdom,10.2,UK,Budget,Normal,2507.07,15,0.0041,-0.032,10.2,Low,0,Repeat,7-12,Q2,2011,1,Thursday,10,1,10.2,86,16,253.1,2.4159137783010487,44,False,0.85
571304,23354,6 Gift Tags 50'S Christmas,12,2011-10-17 09:37:00,0.83,12526,Germany,9.959999999999999,EU,Budget,Normal,1316.66,3,0.0076,-0.433,17.0,Low,0,Repeat,7-12,Q2,2011,10,Monday,9,4,9.959999999999999,226,29,519.28,2.3942522815198695,26,False,0.83
570964,22557,Plasters In Tin Vintage Paisley,12,2011-10-13 11:50:00,1.65,12766,Portugal,19.799999999999997,EU,Standard,Normal,6989.63,7,0.0028,-0.057,16.5,Mid,0,Repeat,7-12,Q4-High,2011,10,Thursday,11,4,19.799999999999997,884,61,1319.01,3.034952986707272,43,False,1.65
549885,22427,Enamel Flower Jug Cream,3,2011-04-12 15:32:00,5.95,17204,United Kingdom,17.85,UK,Premium,Normal,1564.56,4,0.0114,-0.009,10.2,Mid,0,Repeat,3-6,Q2,2011,4,Tuesday,15,2,17.85,119,11,461.25,2.93651291389402,18,False,5.95
569699,22027,Tea Party Birthday Card,12,2011-10-05 15:52:00,0.42,12723,France,5.04,EU,Budget,Normal,725.07,5,0.007,-0.269,16.6,Low,0,Repeat,7-12,Q1-Low,2011,10,Wednesday,15,4,5.04,188,35,265.51,1.7984040119467235,28,False,0.42
540513,85123A,White Hanging Heart T-Light Holder,32,2011-01-09 11:41:00,2.55,13758,United Kingdom,81.6,UK,Standard,Normal,3190.55,7,0.0256,0.187,10.2,Top,1,Repeat,25+,Q3,2011,1,Sunday,11,1,81.6,152,9,422.4,4.414009680526933,3,False,2.55
570420,22512,Doorstop Racing Car Design,1,2011-10-10 13:33:00,3.75,17841,United Kingdom,3.75,UK,Standard,Normal,40991.57,124,0.0001,-0.052,10.2,Low,0,Repeat,1-2,Q4-High,2011,10,Monday,13,4,3.75,243,73,285.65,1.55814461804655,263,False,3.75
538367,20830,Silver Photo Frame,6,2010-12-12 10:48:00,2.1,14800,United Kingdom,12.600000000000001,UK,Standard,Normal,4339.74,12,0.0029,-0.025,10.2,Mid,1,Repeat,3-6,Q3,2010,12,Sunday,10,4,12.600000000000001,635,43,664.01,2.6100697927420065,41,False,2.1
580304,21908,Chocolate This Way Metal Sign,12,2011-12-02 14:25:00,2.1,18055,United Kingdom,25.200000000000003,UK,Standard,Normal,6784.1900000000005,10,0.0037,0.014,10.2,Mid,0,Repeat,7-12,Q4-High,2011,12,Friday,14,4,25.200000000000003,369,47,863.77,3.265759410767051,37,False,2.1
568212,22398,Magnets Pack Of 4 Swallows,1,2011-09-25 16:05:00,0.39,15154,United Kingdom,0.39,UK,Budget,Normal,296.42,1,0.0013,-0.062,10.2,Low,1,One-Time,1-2,Q1-Low,2011,9,Sunday,16,3,0.55,104,85,296.42,0.3293037471426004,27,False,0.39
560024,22197,Popcorn Holder,10,2011-07-14 13:00:00,0.85,15005,United Kingdom,8.5,UK,Budget,Normal,6316.57,28,0.0013,-0.037,10.2,Low,0,Repeat,7-12,Q4-High,2011,7,Thursday,13,3,8.5,169,40,244.87,2.2512917986064953,55,False,0.85
551824,22236,Cake Stand 3 Tier Magic Garden,1,2011-05-04 12:32:00,12.75,15128,United Kingdom,12.75,UK,Premium,Normal,1471.0,4,0.0087,-0.024,10.2,Mid,0,Repeat,1-2,Q2,2011,5,Wednesday,12,2,12.75,360,33,483.7,2.6210388241125804,24,False,12.75
573155,20978,36 Pencils Tube Skulls,16,2011-10-28 08:34:00,1.25,13632,United Kingdom,20.0,UK,Standard,Normal,2121.27,5,0.0094,-0.002,10.2,Mid,0,Repeat,13-24,Q2,2011,10,Friday,8,4,20.0,433,44,854.53,3.044522437723423,15,False,1.25
572076,22996,Travel Card Wallet Vintage Ticket,24,2011-10-20 14:01:00,0.42,13761,United Kingdom,10.08,UK,Budget,Bulk-Cheap,1070.65,2,0.0094,-0.032,10.2,Low,0,Repeat,13-24,Q1-Low,2011,10,Thursday,14,4,10.08,418,38,578.9399999999999,2.405141681319138,27,False,0.42
578719,21981,Pack Of 12 Woodland Tissues,12,2011-11-25 11:25:00,0.39,17348,United Kingdom,4.68,UK,Budget,Normal,1159.52,5,0.004,-0.049,10.2,Low,0,Repeat,7-12,Q2,2011,11,Friday,11,4,4.68,175,38,177.61,1.7369512327330598,49,False,0.39
576045,22114,Hot Water Bottle Tea And Sympathy,2,2011-11-13 14:42:00,4.25,15022,United Kingdom,8.5,UK,Standard,Normal,905.04,4,0.0094,-0.037,10.2,Low,1,Repeat,1-2,Q1-Low,2011,11,Sunday,14,4,8.5,112,31,288.3,2.2512917986064953,21,False,4.25
578925,22576,Swallow Wooden Christmas Decoration,2,2011-11-27 12:13:00,0.85,17365,United Kingdom,1.7,UK,Budget,Normal,4801.56,8,0.0004,-0.058,10.2,Low,1,Repeat,1-2,Q3,2011,11,Sunday,12,4,1.7,359,39,426.37,0.9932517730102833,110,False,0.85
568894,21929,Jumbo Bag Pink Vintage Paisley,1,2011-09-29 13:04:00,2.08,17528,United Kingdom,2.08,UK,Standard,Normal,3628.5,8,0.0006,-0.057,10.2,Low,0,Repeat,1-2,Q3,2011,9,Thursday,13,3,2.08,494,85,779.36,1.1249295969854831,88,False,2.08
546563,22748,Poppy'S Playhouse Kitchen,6,2011-03-15 10:49:00,2.1,15047,United Kingdom,12.600000000000001,UK,Standard,Normal,343.62,1,0.0367,-0.025,10.2,Mid,0,One-Time,3-6,Q1-Low,2011,3,Tuesday,10,1,12.600000000000001,222,22,343.62,2.6100697927420065,8,False,2.1
538354,22150,3 Stripey Mice Feltcraft,18,2010-12-10 15:45:00,1.95,16873,United Kingdom,35.1,UK,Standard,Normal,7123.62,6,0.0049,0.044,10.2,Mid,0,Repeat,13-24,Q4-High,2010,12,Friday,15,4,35.1,1040,68,2157.64,3.586292865338835,25,False,1.95
578929,22560,Traditional Modelling Clay,7,2011-11-27 12:31:00,1.25,13064,United Kingdom,8.75,UK,Standard,Normal,1119.49,4,0.0078,-0.036,10.2,Low,1,Repeat,7-12,Q2,2011,11,Sunday,12,4,8.75,150,21,277.16,2.277267285009756,31,False,1.25
581395,22208,Wood Stamp Set Thank You,1,2011-12-08 13:18:00,0.83,16892,United Kingdom,0.83,UK,Budget,Normal,525.54,5,0.0016,-0.061,10.2,Low,0,Repeat,1-2,Q1-Low,2011,12,Thursday,13,4,0.83,35,20,123.12,0.6043159668533294,47,False,0.83
